City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Nador,MA,35.174,-2.9287,77.25,94,0,2.3,clear sky
320,Pochutla,MX,15.7432,-96.4661,75.81,89,74,2.73,broken clouds
321,Colares,PT,38.7992,-9.4469,67.68,74,0,17.0,clear sky
322,San Quintin,MX,30.4833,-115.95,71.01,75,70,9.75,broken clouds
323,Jerantut,MY,3.936,102.3626,80.15,84,100,0.29,overcast clouds
324,Broome,US,42.2506,-75.833,74.66,81,0,9.22,clear sky
325,Boa Vista,BR,2.8197,-60.6733,80.58,74,40,0.0,scattered clouds
326,Shebalino,RU,51.2917,85.6772,51.37,94,100,1.3,overcast clouds
327,Olavarria,AR,-36.8927,-60.3225,53.02,79,89,10.33,light rain
328,Husavik,IS,66.0449,-17.3389,46.0,89,60,2.17,broken clouds
329,Darhan,MN,49.4867,105.9228,63.5,68,73,4.21,broken clouds
330,Hatillo,PR,18.4863,-66.8254,81.79,90,0,1.99,clear sky
331,Jashpurnagar,IN,22.9,84.15,73.31,91,100,6.46,overcast clouds
332,Singureni,RO,44.2336,25.9433,77.09,71,98,12.91,light rain
333,Guerrero Negro,MX,27.9769,-114.0611,70.12,76,16,13.94,few clouds
334,Wum,CM,6.3833,10.0667,64.11,99,100,1.72,light rain
335,Cayenne,GF,4.9333,-52.3333,83.08,1,40,3.44,scattered clouds
336,Kenai,US,60.5544,-151.2583,69.03,55,100,10.36,overcast clouds
337,Along,IN,28.1667,94.7667,78.44,89,76,0.6,broken clouds
338,Taoudenni,ML,22.6783,-3.9836,96.69,23,96,9.66,light rain
339,Codrington,AU,-38.2667,141.9667,54.36,91,100,17.76,overcast clouds
340,Farafangana,MG,-22.8167,47.8333,63.57,93,12,4.94,few clouds
341,Khatanga,RU,71.9667,102.5,70.07,70,98,14.41,overcast clouds
342,Hirado,JP,33.3597,129.5531,79.05,81,5,4.9,clear sky
343,La Ronge,CA,55.1001,-105.2842,62.85,82,75,5.75,broken clouds
344,Wonthaggi,AU,-38.6044,145.5913,56.82,58,87,8.46,overcast clouds
345,Henties Bay,NA,-22.116,14.2845,54.82,86,0,4.05,clear sky
346,Lamu,KE,-2.2717,40.902,73.62,77,14,16.64,few clouds
