City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Shenjiamen,CN,81.91,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
543,Manggar,ID,82.8,broken clouds,-2.8833,108.2667,Guest Hotel
555,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
560,Manokwari,ID,83.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
562,Abu Kamal,SY,81.34,clear sky,34.4506,40.9171,البوكمال
563,Columbus,US,82.92,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
565,Umbertide,IT,81.21,clear sky,43.3055,12.3366,La Casa del Falegname
566,Lexington Park,US,87.85,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
569,Meulaboh,ID,78.69,light rain,4.1363,96.1285,Kost Pria
572,Tongzi,CN,83.32,broken clouds,28.7829,105.0877,Jiayuan Hotel
574,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
575,San Jose,US,85.28,clear sky,37.3394,-121.895,The Westin San Jose
576,Qadirpur Ran,PK,80.49,broken clouds,30.2924,71.6712,Govt Guest House
578,Palauig,PH,86.36,broken clouds,15.435,119.9045,Villa Raphael Resort
585,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
587,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
589,Forestville,US,88.2,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
591,Oeiras Do Para,BR,79.47,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
592,Payo,ID,79.21,overcast clouds,-3.7508,103.6372,Mess keban agung
593,Yerofey Pavlovich,RU,79.2,clear sky,53.9667,121.9667,lounges and warm parking
597,Ransang,PH,86.32,scattered clouds,8.9603,117.5828,Black and Crystal Sand Campsite
598,Hailey,US,86.88,clear sky,43.5196,-114.3153,Wood River Inn & Suites
602,Great Falls,US,75.65,broken clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
609,Baran,IN,78.51,overcast clouds,25.1,76.5167,Hotel shree ji
613,Kihei,US,89.62,few clouds,20.785,-156.4656,Maui Sunset
616,Malkangiri,IN,76.55,overcast clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
